date,time_et,kickoff_utc,kickoff_ts,away_team,home_team,away_rank,home_rank
"Thursday, August 28",5:30pm,2025-08-28T21:30:00+00:00,1756416600,USF,Boise State,,25
"Thursday, August 28",6:00pm,2025-08-28T22:00:00+00:00,1756418400,Bowling Green,Lafayette,,
"Thursday, August 28",6:00pm,2025-08-28T22:00:00+00:00,1756418400,Rutgers,Ohio,,
"Thursday, August 28",7:00pm,2025-08-28T23:00:00+00:00,1756422000,ULM,Saint Francis U.,,
"Thursday, August 28",7:00pm,2025-08-28T23:00:00+00:00,1756422000,Delaware,Delaware State,,
"Thursday, August 28",7:00pm,2025-08-28T23:00:00+00:00,1756422000,UCF,Jacksonville State,,
"Thursday, August 28",7:00pm,2025-08-28T23:00:00+00:00,1756422000,NC State,East Carolina,,
"Thursday, August 28",7:00pm,2025-08-28T23:00:00+00:00,1756422000,Wyoming,Akron,,
"Thursday, August 28",7:30pm,2025-08-28T23:30:00+00:00,1756423800,Oklahoma State,UT Martin,,
"Thursday, August 28",7:30pm,2025-08-28T23:30:00+00:00,1756423800,Duke,Elon,,
"Thursday, August 28",7:30pm,2025-08-28T23:30:00+00:00,1756423800,Missouri,Central Arkansas,,
"Thursday, August 28",8:00pm,2025-08-29T00:00:00+00:00,1756425600,Minnesota,Buffalo,,
"Thursday, August 28",8:00pm,2025-08-29T00:00:00+00:00,1756425600,Houston,Stephen F. Austin,,
"Thursday, August 28",8:30pm,2025-08-29T00:30:00+00:00,1756427400,UAB,Alabama State,,
"Thursday, August 28",9:00pm,2025-08-29T01:00:00+00:00,1756429200,Wisconsin,Miami (Ohio),,
"Thursday, August 28",9:00pm,2025-08-29T01:00:00+00:00,1756429200,Nebraska,Cincinnati,,
"Thursday, August 28",10:00pm,2025-08-29T02:00:00+00:00,1756432800,San Diego State,Stony Brook,,
"Friday, August 29",6:00pm,2025-08-29T22:00:00+00:00,1756504800,Tarleton State,Army,,
"Friday, August 29",7:00pm,2025-08-29T23:00:00+00:00,1756508400,Wake Forest,Kennesaw State,,
"Friday, August 29",7:00pm,2025-08-29T23:00:00+00:00,1756508400,Appalachian State,Charlotte,,
"Friday, August 29",7:00pm,2025-08-29T23:00:00+00:00,1756508400,FIU,Bethune-Cookman,,
"Friday, August 29",7:00pm,2025-08-29T23:00:00+00:00,1756508400,Michigan State,Western Michigan,,
"Friday, August 29",7:30pm,2025-08-29T23:30:00+00:00,1756510200,Kansas,Wagner,,
"Friday, August 29",7:30pm,2025-08-29T23:30:00+00:00,1756510200,Illinois,Western Illinois,12,
"Friday, August 29",8:00pm,2025-08-30T00:00:00+00:00,1756512000,Auburn,Baylor,,
"Friday, August 29",8:00pm,2025-08-30T00:00:00+00:00,1756512000,Georgia Tech,Colorado,,
"Friday, August 29",9:30pm,2025-08-30T01:30:00+00:00,1756517400,UNLV,Sam Houston,,
"Friday, August 29",10:30pm,2025-08-30T02:30:00+00:00,1756521000,Central Michigan,San Jose State,,
"Saturday, August 30",12:00pm,2025-08-30T16:00:00+00:00,1756569600,Tennessee,Syracuse,24,
"Saturday, August 30",12:00pm,2025-08-30T16:00:00+00:00,1756569600,Mississippi State,Southern Miss,,
"Saturday, August 30",12:00pm,2025-08-30T16:00:00+00:00,1756569600,Navy,VMI,,
"Saturday, August 30",12:00pm,2025-08-30T16:00:00+00:00,1756569600,Ohio State,Texas,3,1
"Saturday, August 30",12:00pm,2025-08-30T16:00:00+00:00,1756569600,Pitt,Duquesne,,
"Saturday, August 30",12:00pm,2025-08-30T16:00:00+00:00,1756569600,Tulane,Northwestern,,
"Saturday, August 30",12:00pm,2025-08-30T16:00:00+00:00,1756569600,Purdue,Ball State,,
"Saturday, August 30",12:00pm,2025-08-30T16:00:00+00:00,1756569600,Kent State,Merrimack,,
"Saturday, August 30",12:00pm,2025-08-30T16:00:00+00:00,1756569600,Maryland,Florida Atlantic,,
"Saturday, August 30",12:45pm,2025-08-30T16:45:00+00:00,1756572300,Kentucky,Toledo,,
"Saturday, August 30",2:00pm,2025-08-30T18:00:00+00:00,1756576800,Boston College,Fordham,,
"Saturday, August 30",2:00pm,2025-08-30T18:00:00+00:00,1756576800,West Virginia,Robert Morris,,
"Saturday, August 30",2:00pm,2025-08-30T18:00:00+00:00,1756576800,UConn,CCSU,,
"Saturday, August 30",2:30pm,2025-08-30T18:30:00+00:00,1756578600,Indiana,Old Dominion,20,
"Saturday, August 30",3:00pm,2025-08-30T19:00:00+00:00,1756580400,Louisville,Eastern Kentucky,,
"Saturday, August 30",3:30pm,2025-08-30T19:30:00+00:00,1756582200,Air Force,Bucknell,,
"Saturday, August 30",3:30pm,2025-08-30T19:30:00+00:00,1756582200,Georgia,Marshall,5,
"Saturday, August 30",3:30pm,2025-08-30T19:30:00+00:00,1756582200,Penn State,Nevada,2,
"Saturday, August 30",3:30pm,2025-08-30T19:30:00+00:00,1756582200,NIU,Holy Cross,,
"Saturday, August 30",3:30pm,2025-08-30T19:30:00+00:00,1756582200,Iowa State,South Dakota,22,
"Saturday, August 30",3:30pm,2025-08-30T19:30:00+00:00,1756582200,Temple,UMass,,
"Saturday, August 30",3:30pm,2025-08-30T19:30:00+00:00,1756582200,Florida State,Alabama,,8
"Saturday, August 30",4:00pm,2025-08-30T20:00:00+00:00,1756584000,Liberty,Maine,,
"Saturday, August 30",4:00pm,2025-08-30T20:00:00+00:00,1756584000,Oregon,Montana State,7,
"Saturday, August 30",4:15pm,2025-08-30T20:15:00+00:00,1756584900,Arkansas,Alabama A&M,,
"Saturday, August 30",4:30pm,2025-08-30T20:30:00+00:00,1756585800,Memphis,Chattanooga,,
"Saturday, August 30",6:00pm,2025-08-30T22:00:00+00:00,1756591200,Oklahoma,Illinois State,18,
"Saturday, August 30",6:00pm,2025-08-30T22:00:00+00:00,1756591200,Iowa,UAlbany,,
"Saturday, August 30",6:00pm,2025-08-30T22:00:00+00:00,1756591200,James Madison,Weber State,,
"Saturday, August 30",6:00pm,2025-08-30T22:00:00+00:00,1756591200,Virginia,Coastal Carolina,,
"Saturday, August 30",7:00pm,2025-08-30T23:00:00+00:00,1756594800,Vanderbilt,Charleston So.,,
"Saturday, August 30",7:00pm,2025-08-30T23:00:00+00:00,1756594800,Texas A&M,UTSA,19,
"Saturday, August 30",7:00pm,2025-08-30T23:00:00+00:00,1756594800,Arkansas State,Southeast Missouri,,
"Saturday, August 30",7:00pm,2025-08-30T23:00:00+00:00,1756594800,Kansas State,North Dakota,17,
"Saturday, August 30",7:00pm,2025-08-30T23:00:00+00:00,1756594800,Troy,Nicholls,,
