event_ticker,market_ticker,market_title,yes_subtitle,series_ticker,away_team,home_team,kickoff_ts,matched_via
KXNCAAFGAME-25OCT28JMUTXST,KXNCAAFGAME-25OCT28JMUTXST-TXST,James Madison at Texas State Winner?,TXST,KXNCAAFGAME,James Madison,Texas State,1761696000,API_UPDATE
KXNCAAFGAME-25OCT28UTEPKENN,KXNCAAFGAME-25OCT28UTEPKENN-KENN,UTEP at Kennesaw State Winner?,KENN,KXNCAAFGAME,UTEP,Kennesaw State,1761696000,API_UPDATE
KXNCAAFGAME-25OCT29JACKMTSU,KXNCAAFGAME-25OCT29JACKMTSU-MTSU,Jacksonville State at Middle Tennessee Winner?,MTSU,KXNCAAFGAME,Jacksonville State,Middle Tennessee,1761780600,API_UPDATE
KXNCAAFGAME-25OCT30FLORMISS,KXNCAAFGAME-25OCT30FLORMISS-MISS,Florida International at Missouri State Winner?,MISS,KXNCAAFGAME,Florida International,Missouri State,1761782400,API_UPDATE
KXNCAAFGAME-25OCT30NORFDELA,KXNCAAFGAME-25OCT30NORFDELA-DELA,Norfolk State at Delaware State Winner?,DELA,KXNCAAFGAME,Norfolk State,Delaware State,1761865200,API_UPDATE
KXNCAAFGAME-25OCT30TULNUTSA,KXNCAAFGAME-25OCT30TULNUTSA-UTSA,Tulane at UTSA Winner?,UTSA,KXNCAAFGAME,Tulane,UTSA,1761867000,API_UPDATE
KXNCAAFGAME-25OCT30MRSHCCAR,KXNCAAFGAME-25OCT30MRSHCCAR-CCAR,Marshall at Coastal Carolina Winner?,CCAR,KXNCAAFGAME,Marshall,Coastal Carolina,1761867000,API_UPDATE
KXNCAAFGAME-25OCT31BROWPENN,KXNCAAFGAME-25OCT31BROWPENN-PENN,Brown at Pennsylvania Winner?,PENN,KXNCAAFGAME,Brown,Pennsylvania,1761951600,API_UPDATE
KXNCAAFGAME-25OCT31MEMRICE,KXNCAAFGAME-25OCT31MEMRICE-RICE,Memphis at Rice Winner?,RICE,KXNCAAFGAME,Memphis,Rice,1761951600,API_UPDATE
KXNCAAFGAME-25OCT31UNCSYR,KXNCAAFGAME-25OCT31UNCSYR-SYR,North Carolina at Syracuse Winner?,SYR,KXNCAAFGAME,North Carolina,Syracuse,1761953400,API_UPDATE
KXNCAAFGAME-25OCT31SHSULT,KXNCAAFGAME-25OCT31SHSULT-LT,Sam Houston at Louisiana Tech Winner?,LT,KXNCAAFGAME,Sam Houston,Louisiana Tech,1761955200,API_UPDATE
KXNCAAFGAME-25NOV01IDAHNORT,KXNCAAFGAME-25NOV01IDAHNORT-NORT,Idaho at Northern Arizona Winner?,NORT,KXNCAAFGAME,Idaho,Northern Arizona,1761964200,API_UPDATE
