event_ticker,market_ticker,market_title,yes_subtitle,series_ticker,away_team,home_team,week,strike_date
KXNFLGAME-25NOV06LVDEN,KXNFLGAME-25NOV06LVDEN-DEN,Las Vegas at Denver Winner?,Denver,KXNFLGAME,LV,DEN,10,1762478100
KXNFLGAME-25NOV03ARIDAL,KXNFLGAME-25NOV03ARIDAL-DAL,Arizona at Dallas Winner?,Dallas,KXNFLGAME,ARI,DAL,9,1762218900
KXNFLGAME-25NOV02SEAWAS,KXNFLGAME-25NOV02SEAWAS-WAS,Seattle at Washington Winner?,Washington,KXNFLGAME,SEA,WAS,9,1762132800
KXNFLGAME-25NOV02KCBUF,KXNFLGAME-25NOV02KCBUF-KC,Kansas City at Buffalo Winner?,Kansas City,KXNFLGAME,KC,BUF,9,1762118700
KXNFLGAME-25NOV02NOLA,KXNFLGAME-25NOV02NOLA-NO,New Orleans at Los Angeles R Winner?,New Orleans,KXNFLGAME,NO,LAR,9,1762117500
KXNFLGAME-25NOV02JACLV,KXNFLGAME-25NOV02JACLV-LV,Jacksonville at Las Vegas Winner?,Las Vegas,KXNFLGAME,JAX,LV,9,1762117500
KXNFLGAME-25NOV02SFNYG,KXNFLGAME-25NOV02SFNYG-SF,San Francisco at New York G Winner?,San Francisco,KXNFLGAME,SF,NYG,9,1762106400
KXNFLGAME-25NOV02MINDET,KXNFLGAME-25NOV02MINDET-MIN,Minnesota at Detroit Winner?,Minnesota,KXNFLGAME,MIN,DET,9,1762106400
KXNFLGAME-25NOV02LACTEN,KXNFLGAME-25NOV02LACTEN-TEN,Los Angeles C at Tennessee Winner?,Tennessee,KXNFLGAME,LAC,TEN,9,1762106400
KXNFLGAME-25NOV02INDPIT,KXNFLGAME-25NOV02INDPIT-PIT,Indianapolis at Pittsburgh Winner?,Pittsburgh,KXNFLGAME,IND,PIT,9,1762106400
KXNFLGAME-25NOV02DENHOU,KXNFLGAME-25NOV02DENHOU-HOU,Denver at Houston Winner?,Houston,KXNFLGAME,DEN,HOU,9,1762106400
KXNFLGAME-25NOV02CHICIN,KXNFLGAME-25NOV02CHICIN-CIN,Chicago at Cincinnati Winner?,Cincinnati,KXNFLGAME,CHI,CIN,9,1762106400
KXNFLGAME-25NOV02CARGB,KXNFLGAME-25NOV02CARGB-GB,Carolina at Green Bay Winner?,Green Bay,KXNFLGAME,CAR,GB,9,1762106400
KXNFLGAME-25NOV02ATLNE,KXNFLGAME-25NOV02ATLNE-NE,Atlanta at New England Winner?,New England,KXNFLGAME,ATL,NE,9,1762106400
KXNFLGAME-25OCT30BALMIA,KXNFLGAME-25OCT30BALMIA-MIA,Baltimore at Miami Winner?,Miami,KXNFLGAME,BAL,MIA,9,1761869700
KXNFLGAME-25OCT27WASKC,KXNFLGAME-25OCT27WASKC-WAS,Washington at Kansas City Winner?,Washington,KXNFLGAME,WAS,KC,8,1761610500
KXNFLGAME-25OCT23MINLAC,KXNFLGAME-25OCT23MINLAC-MIN,Minnesota at Los Angeles C Winner?,Minnesota,KXNFLGAME,MIN,LAC,8,1761264900
KXNFLGAME-25OCT20HOUSEA,KXNFLGAME-25OCT20HOUSEA-SEA,Houston at Seattle Winner?,Seattle,KXNFLGAME,HOU,SEA,7,1761012000
KXNFLGAME-25OCT20TBDET,KXNFLGAME-25OCT20TBDET-TB,Tampa Bay at Detroit Winner?,Tampa Bay,KXNFLGAME,TB,DET,7,1761001200
KXNFLGAME-25OCT19ATLSF,KXNFLGAME-25OCT19ATLSF-SF,Atlanta at San Francisco Winner?,San Francisco,KXNFLGAME,ATL,SF,7,1760919600
KXNFLGAME-25OCT19WASDAL,KXNFLGAME-25OCT19WASDAL-WAS,Washington at Dallas Winner?,Washington,KXNFLGAME,DAL,WAS,17,1766685600
KXNFLGAME-25OCT19GBARI,KXNFLGAME-25OCT19GBARI-GB,Green Bay at Arizona Winner?,Green Bay,KXNFLGAME,GB,ARI,7,1760905500
KXNFLGAME-25OCT19NYGDEN,KXNFLGAME-25OCT19NYGDEN-NYG,New York G at Denver Winner?,New York G,KXNFLGAME,NYG,DEN,7,1760904300
KXNFLGAME-25OCT19INDLAC,KXNFLGAME-25OCT19INDLAC-LAC,Indianapolis at Los Angeles C Winner?,Los Angeles C,KXNFLGAME,IND,LAC,7,1760904300
KXNFLGAME-25OCT19PHIMIN,KXNFLGAME-25OCT19PHIMIN-PHI,Philadelphia at Minnesota Winner?,Philadelphia,KXNFLGAME,PHI,MIN,7,1760893200
KXNFLGAME-25OCT19NOCHI,KXNFLGAME-25OCT19NOCHI-NO,New Orleans at Chicago Winner?,New Orleans,KXNFLGAME,NO,CHI,7,1760893200
KXNFLGAME-25OCT19NETEN,KXNFLGAME-25OCT19NETEN-TEN,New England at Tennessee Winner?,Tennessee,KXNFLGAME,NE,TEN,7,1760893200
KXNFLGAME-25OCT19MIACLE,KXNFLGAME-25OCT19MIACLE-MIA,Miami at Cleveland Winner?,Miami,KXNFLGAME,MIA,CLE,7,1760893200
KXNFLGAME-25OCT19LVKC,KXNFLGAME-25OCT19LVKC-LV,Las Vegas at Kansas City Winner?,Las Vegas,KXNFLGAME,LV,KC,7,1760893200
KXNFLGAME-25OCT19CARNYJ,KXNFLGAME-25OCT19CARNYJ-NYJ,Carolina at New York J Winner?,New York J,KXNFLGAME,CAR,NYJ,7,1760893200
KXNFLGAME-25OCT19LAJAC,KXNFLGAME-25OCT19LAJAC-LA,Los Angeles R at Jacksonville Winner?,Los Angeles R,KXNFLGAME,LAR,JAX,7,1760880600
KXNFLGAME-25OCT16PITCIN,KXNFLGAME-25OCT16PITCIN-PIT,Pittsburgh at Cincinnati Winner?,Pittsburgh,KXNFLGAME,CIN,PIT,11,1763316000
KXNFLGAME-25OCT13CHIWAS,KXNFLGAME-25OCT13CHIWAS-WAS,Chicago at Washington Winner?,Washington,KXNFLGAME,CHI,WAS,6,1760400900
KXNFLGAME-25OCT13BUFATL,KXNFLGAME-25OCT13BUFATL-BUF,Buffalo at Atlanta Winner?,Buffalo,KXNFLGAME,BUF,ATL,6,1760397300
KXNFLGAME-25OCT12DETKC,KXNFLGAME-25OCT12DETKC-KC,Detroit at Kansas City Winner?,Kansas City,KXNFLGAME,DET,KC,6,1760314800
KXNFLGAME-25OCT12SFTB,KXNFLGAME-25OCT12SFTB-TB,San Francisco at Tampa Bay Winner?,Tampa Bay,KXNFLGAME,SF,TB,6,1760288400
KXNFLGAME-25OCT12CINGB,KXNFLGAME-25OCT12CINGB-GB,Cincinnati at Green Bay Winner?,Green Bay,KXNFLGAME,CIN,GB,6,1760300700
KXNFLGAME-25OCT12TENLV,KXNFLGAME-25OCT12TENLV-TEN,Tennessee at Las Vegas Winner?,Tennessee,KXNFLGAME,TEN,LV,6,1760299500
KXNFLGAME-25OCT12SEAJAC,KXNFLGAME-25OCT12SEAJAC-SEA,Seattle at Jacksonville Winner?,Seattle,KXNFLGAME,SEA,JAX,6,1760288400
KXNFLGAME-25OCT12NENO,KXNFLGAME-25OCT12NENO-NO,New England at New Orleans Winner?,New Orleans,KXNFLGAME,NE,NO,6,1760300700
KXNFLGAME-25OCT12LACMIA,KXNFLGAME-25OCT12LACMIA-MIA,Los Angeles C at Miami Winner?,Miami,KXNFLGAME,LAC,MIA,6,1760288400
KXNFLGAME-25OCT12LABAL,KXNFLGAME-25OCT12LABAL-LA,Los Angeles R at Baltimore Winner?,Los Angeles R,KXNFLGAME,LAR,BAL,6,1760288400
KXNFLGAME-25OCT12DALCAR,KXNFLGAME-25OCT12DALCAR-DAL,Dallas at Carolina Winner?,Dallas,KXNFLGAME,DAL,CAR,6,1760288400
KXNFLGAME-25OCT12CLEPIT,KXNFLGAME-25OCT12CLEPIT-PIT,Cleveland at Pittsburgh Winner?,Pittsburgh,KXNFLGAME,PIT,CLE,17,1766944800
KXNFLGAME-25OCT12ARIIND,KXNFLGAME-25OCT12ARIIND-IND,Arizona at Indianapolis Winner?,Indianapolis,KXNFLGAME,ARI,IND,6,1760288400
KXNFLGAME-25OCT12DENNYJ,KXNFLGAME-25OCT12DENNYJ-NYJ,Denver at New York J Winner?,New York J,KXNFLGAME,DEN,NYJ,6,1760275800
KXNFLGAME-25OCT09PHINYG,KXNFLGAME-25OCT09PHINYG-PHI,Philadelphia at New York G Winner?,Philadelphia,KXNFLGAME,NYG,PHI,8,1761498000
KXNFLGAME-25OCT06KCJAC,KXNFLGAME-25OCT06KCJAC-KC,Kansas City at Jacksonville Winner?,Kansas City,KXNFLGAME,KC,JAX,5,1759796100
KXNFLGAME-25OCT05NEBUF,KXNFLGAME-25OCT05NEBUF-NE,New England at Buffalo Winner?,New England,KXNFLGAME,BUF,NE,15,1765735200
KXNFLGAME-25OCT05WASLAC,KXNFLGAME-25OCT05WASLAC-WAS,Washington at Los Angeles C Winner?,Washington,KXNFLGAME,WAS,LAC,5,1759695900
KXNFLGAME-25OCT05DETCIN,KXNFLGAME-25OCT05DETCIN-DET,Detroit at Cincinnati Winner?,Detroit,KXNFLGAME,DET,CIN,5,1759695900
KXNFLGAME-25OCT05TENARI,KXNFLGAME-25OCT05TENARI-TEN,Tennessee at Arizona Winner?,Tennessee,KXNFLGAME,TEN,ARI,5,1759694700
KXNFLGAME-25OCT05TBSEA,KXNFLGAME-25OCT05TBSEA-TB,Tampa Bay at Seattle Winner?,Tampa Bay,KXNFLGAME,TB,SEA,5,1759694700
KXNFLGAME-25OCT05NYGNO,KXNFLGAME-25OCT05NYGNO-NYG,New York G at New Orleans Winner?,New York G,KXNFLGAME,NYG,NO,5,1759683600
KXNFLGAME-25OCT05MIACAR,KXNFLGAME-25OCT05MIACAR-MIA,Miami at Carolina Winner?,Miami,KXNFLGAME,MIA,CAR,5,1759683600
